Order	Chromosome	basepair	genetic distance				Order	Chromosome	basepair	genetic distance
147	3	13169799	0.013423112							
148	3	13709128	0.017255547							
149	3	13936721	0.014815107							
150	3	14104352	0.020039602							
151	3	14573897	0.002377983							
152	3	14866653	0.024355611							
153	3	15012050	0.023937124							
154	3	15312401	0.020189301							
155	3	15535654	0.034490982							
156	3	15693812	0.013642633							
157	3	15937972	0.017219913							
158	3	16052354	0.010764013							
159	3	16207459	0.030402635							
160	3	16403675	0.019479217							
161	3	16706583	0.030988871							
162	3	17018115	0.005226069							
163	3	17246488	0.021290102							
164	3	17416911	0.036345632							
165	3	17600163	0.043471311							
166	3	17746700	0.04382904							
167	3	18057167	0.040394491							
168	3	18273852	0.019172102							
169	3	18466266	0.00374616							
170	3	18690777	0.013957507							
171	3	18833899								
172	4	18525	0.003167723							
173	4	150506	0.003243465							
174	4	351665	0.008464118							
175	4	548410	0.007231904							
176	4	725359	0.010160905							
177	4	926779	0.003130283							
178	4	1030892	0.003793798							
179	4	1070650	0.011553927							
180	4	1237815	0.010074701							
181	4	1361089	0.016415288							
182	4	1499214	0.006391055							
183	4	1632181	0.004185387							
184	4	1730113	0.008353893							
185	4	1818551	0.017061848							
186	4	2006229	0.00657793							
187	4	2144314	0.004835261							
188	4	2207560	0.01145347							
189	4	2360036	0.007267956							
190	4	2543803	0.005857101							
191	4	2661298	0.02117577							
192	4	2814646	0.011154384							
193	4	2998947	0.011204951							
194	4	3218272	0.018580733							
195	4	3405426	0.014546915							
196	4	3520599	0.013916403							
197	4	3688567	0.019140422							
198	4	3877143	0.00989346							
199	4	3974380	0.024080904							
200	4	4179216	0.023693288							
201	4	4356489	0.005747673							
202	4	4587770	0.006071549							
203	4	4809771	0.021337202							
204	4	5108991	0.008019973							
205	4	5354743	0.015185719							
206	4	5507437	0.026143683							
207	4	5803707	0							
208	4	6000740	0.00857986							
209	4	6173578	0.021424529							
210	4	6568708	0.003877453							
211	4	7063299	0.012491639							
212	4	7424046	0.022568833							
213	4	8019566	0.001119278							
214	4	8241516	0							
215	4	8435791	0							
216	4	8737461	0.000629698							
217	4	8884228	0							
218	4	9257913	0.001443111							
219	4	9438735	0							
220	4	9931201	0.002048265							
221	4	10343095	0.001645131							
222	4	10688504	0.001425606							
223	4	11349526	0							
224	4	12132342	0.002255736							
225	4	12404128	0							
226	4	12671309	0							
227	4	12879440	0.003811597							
228	4	13199720	0.014774993							
229	4	13491532	0.001284784							
230	4	13828549	0.006674282							
231	4	14058089	0.003973034							
232	4	14280063	0.003683429							
233	4	14532927	0.004311358							
234	4	14828582	0.023294764							
235	4	15120357	0.007842814							
236	4	15586204	0.00724118							
237	4	15819364	0.011173208							
238	4	16020087	0.007668648							
239	4	16519984	0.020875197							
240	4	16707103	0.018808459							
241	4	16929082	0.013856189							
242	4	17073081	0.006337214							
243	4	17337234	0							
244	4	17521591	0.006958114							
245	4	17696965	0.008868421							
246	4	17816614	0.018005832							
247	4	17978843	0.018987098							
248	4	18320244	0.021540356							
249	4	18558016	0.032601917							
250	4	18959547	0.037878249							
251	4	19334797	0.02653632							
252	4	19957913	0.027702874							
253	4	20541487	0.015906905							
254	4	20804246								
255	5	8232	0.005380972							
256	5	170730	0.009523166							
257	5	284889	0.013384978							
258	5	417566	0.014043235							
259	5	648703	0.022146612							
260	5	828219	0.002005471							
261	5	1003721	0.041665302							
262	5	1176580	0.021758993							
263	5	1410968	0.014593288							
264	5	1698678	0.01907494							
265	5	1909976	0.007015287							
266	5	2061944	0.013449855							
267	5	2199187	0.007285695							
268	5	2352572	0.011036636							
269	5	2481721	0.011051452							
270	5	2693464	0.008424201							
271	5	2800313	0.012393011							
272	5	3005536	0.011076954							
273	5	3202067	0.013192032							
274	5	3357843	0.026007378							
275	5	3764719	0.004055699							
276	5	4239672	0.010107354							
277	5	4346498	0.016576691							
278	5	4532220	0.036945962							
279	5	4722509	0.024180176							
280	5	4967259	0.018261934							
281	5	5591209	0							
282	5	6040344	0.002183014							
283	5	7262101	0.006942599							
284	5	9845642	0.00155169							
285	5	10240398	0.025372334							
286	5	10628848	0.021734531							
287	5	12023707	0.019610409							
288	5	12490625	0.026126889							
289	5	13283579	0.007178051							
290	5	13514265	0.002190196							
291	5	13660468	0.002939379							
292	5	14006956	0.014358977							
293	5	14773793	0.033774285							
294	5	15130931	0.011802225							
295	5	15454562	0							
296	5	16044240	0.015724953							
297	5	16356892	0.027225781							
298	5	16804015	0.012497477							
299	5	17050765	0.012814575							
300	5	17285803	0.017333044							
301	5	17446011	0.010827321							
302	5	17655854	0.013129703							
303	5	18018185	0.00636136							
304	5	18135785	0.20843003							
305	5	18450963	0.050089293							
306	5	19412312	0.004188834							
307	5	20023092	0.000354981							
308	5	20879194	0.00439821							
309	5	20981976	0.005035021							
310	5	21252526	0.008834259							
311	5	22420249	0.25							
312	5	23230632	0.226043194							
313	5	24087345	0.036778575							
314	5	24272813								
315	6	7310	0.00153234							
316	6	89043	0.00091996							
317	6	187694	0.00306652							
318	6	354983	0.009397646							
319	6	477030	0.015448177							
320	6	637962	0.010007644							
321	6	782625	0.00593514							
322	6	935212	0.006009911							
323	6	1056984	0.008409007							
324	6	1155648	0.02646642							
325	6	1295810	0.005692716							
326	6	1537631	0.019556825							
327	6	1740045	0.019305467							
328	6	1924113	0.016883145							
329	6	2168640	0.020573291							
330	6	2429343	0.016829395							
331	6	2643503	0.015673371							
332	6	2791552	0.007517549							
333	6	2913904	0.022307774							
334	6	3127222	0.054836216							
335	6	3464132	0.024876625							
336	6	3717618	0.005857217							
337	6	3904032	0.01812025							
338	6	4080516	0.017675174							
339	6	4279140	0.005160368							
340	6	4385793	0.02094809							
341	6	4698408	0.001022431							
342	6	4778652	0.009626395							
343	6	4930425	0.019526916							
344	6	5081223	0.013159489							
345	6	5291456	0.013942402							
346	6	5436082	0.014999424							
347	6	5703584	0.020107818							
348	6	5867211	0.013869746							
349	6	6162842	0.005440344							
350	6	6339831	0.006650914							
351	6	6651405	0.005128679							
352	6	7286100	0.002278298							
353	6	7607788	0.01083159							
354	6	7857049	0.007793563							
355	6	8625533	0.014918662							
356	6	8802539	0.000658548							
357	6	9082118	0.00808057							
358	6	10885507	0.016199993							
359	6	11232638	0							
360	6	11632221	0.004267007							
361	6	11842614	0.006710811							
362	6	12297228	0							
363	6	12498619	0							
364	6	12847014	0							
365	6	13194269	0.004150356							
366	6	14127756	0							
367	6	14375933	0							
368	6	14854177	0.00479608							
369	6	15019115	0.01089856							
370	6	15414205	0.015323095							
371	6	15741890	0.007203461							
372	6	15944673	0.009314664							
373	6	16405851	0.029823369							
374	6	16536869	0.016946111							
375	6	16743481	0.008910149							
376	6	16995133	0.008291913							
377	6	17228260	0.012315368							
378	6	17390657	0.010617398							
379	6	17581838	0.007185189							
380	6	17781548	0.003283775							
381	6	17906916	0.009810656							
382	6	18047480	0.018495502							
383	6	18253508	0.006398811							
384	6	18354490	0.020916932							
385	6	18541563	0.018767302							
386	6	18669966	0.002717182							
387	6	18839540	0.014870076							
388	6	18940834	0.007733602							
389	6	19045068	0.001785452							
390	6	19246779	0.01432955							
391	6	19378145								
392	7	60071	0.002170237							
393	7	361384	0.013405523							
394	7	582347	0.027153424							
395	7	886544	0.046396379							
396	7	1020229	0.031687395							
397	7	1288072	0.072356657							
398	7	2024214	0.053453116							
399	7	2290020	0.021648518							
400	7	2556907	0.037109949							
401	7	2882754	0.004275236							
402	7	3251697	0.046052989							
403	7	3690653	0.031127502							
404	7	3965173	0.010238468							
405	7	4161781	0.007130517							
406	7	4635925	0.013413681							
407	7	4827698	0.028536789							
408	7	4948467	0.01701946							
409	7	5323805	0.005668099							
410	7	5573137	0.012304486							
411	7	5817805	0.030035348							
412	7	6378345	0.031623732							
413	7	7524715	0							
414	7	7857717	0.00498609							
415	7	8459875	0.031213999							
416	7	8913001	0.001521675							
417	7	9223295	0.006666839							
418	7	9720892	0							
419	7	9958993	0.004259191							
420	7	10437241	0.001341357							
421	7	10785408	0							
422	7	11146648	0							
423	7	11643463	0.002334137							
424	7	12912068	0							
425	7	13443579	0							
426	7	14248868	0							
427	7	14667884	0.020743626							
428	7	14934945	0.020194494							
429	7	15482081	0.002784547							
430	7	15827228	0.00144825							
431	7	16060764	0.006251388							
432	7	16610644	0.01384891							
433	7	17288476	0.004311589							
434	7	17902627								
435	8	4320	0							
436	8	106335	0.000883516							
437	8	213463	0							
438	8	327044	0.003773271							
439	8	417765	0.01154887							
440	8	562943	0.018714238							
441	8	708728	0.241351405							
442	8	916963	0							
443	8	1123597	0.009774474							
444	8	1361112	0.013762172							
445	8	1505252	0.01907795							
446	8	1714437	0.014360768							
447	8	1908454	0.013933035							
448	8	2058029	0.01988629							
449	8	2194869	0.017530556							
450	8	2491522	0.017548312							
451	8	2626880	0.012759042							
452	8	2793442	0.017394535							
453	8	2958218	0.007213942							
454	8	3130179	0.012950953							
455	8	3261930	0.012253473							
456	8	3386272	0.01037934							
457	8	3510008	0.006500637							
458	8	3588363	0.002727488							
459	8	3696541	0.205242391							
460	8	3845219	0.075624676							
461	8	4029748	0.017654734							
462	8	4435098	0.004523957							
463	8	4660127	0.016943759							
464	8	5107908	0.010870192							
465	8	5577656	0							
466	8	5866703	0.006402023							
467	8	6112658	0.088856612							
468	8	6368594	0.195584472							
469	8	6641202	0.002821891							
470	8	6781102	0.243012832							
471	8	6976051	0.013701025							
472	8	7188595	0.006198968							
473	8	7383951	0.074743734							
474	8	7747225	0.002038705							
475	8	8003257	0.005101266							
476	8	8324630	0.001105037							
477	8	8654423	0.000803594							
478	8	9016971	0.002544439							
479	8	9256320	0.002264664							
480	8	9647849	0.002348394							
481	8	10190240	0							
482	8	10524519	0							
483	8	10712094	0							
484	8	10870189	0.045710315							
485	8	11323873	0.02133263							
486	8	11538611	0.038225652							
487	8	13821176	0.03837177							
488	8	14319328	0.006989222							
489	8	14510582	0.00407865							
490	8	14737209	0.002555849							
491	8	14941214	0.014006886							
492	8	15173067	0.019132292							
493	8	15409909	0.009634267							
494	8	15524945	0.015818662							
495	8	15715407	0.000442617							
496	8	15868867	0.018088949							
497	8	16014460	0.004831486							
498	8	16217508	0.008030262							
499	8	16324036	0.007728374							
500	8	16480894	0.011675321							
501	8	16628771	0.009646187							
502	8	16838079	0.00617766							
503	8	17049224	0.000722423							
504	8	17183237	0.006587283							
505	8	17282239	0.008620496							
506	8	17519812	0.002096233							
507	8	17608994	0.000365128							
508	8	17797250	0.013275787							
509	8	18047372	0.005757617							
510	8	18214589	0.006124045							
511	8	18367173	0.00644277							
512	8	18477399	0.009356992							
513	8	18706375	0.017618058							
514	8	18879857	0.003945494							
515	8	19169269	0.02304258							
516	8	19356168	0.00804748							
517	8	19520356	0.014185253							
518	8	19767470	0.022590274							
519	8	19989679	0.015906451							
520	8	20444187	0.026310576							
521	8	20773810	0.022095576							
522	8	21159744	0.025429545							
523	8	21433257	0.019430256							
524	8	21756607	0.00472115							
525	8	21891519	0.002441101							
526	8	22101542	0.007706509							
527	8	22381717	0.00601946							
528	8	22511299	0.018891435							
529	8	22801754	0.002885208							
530	8	22981502	0.025518862							
531	8	23162025	0.01721881							
532	8	23481475	0.00783952							
533	8	23740608	0.012944724							
534	8	24004755	0.010809748							
535	8	24130951	0.009861243							
536	8	24309960	0.006784157							
537	8	24529178	0.005808033							
538	8	24669280	0							
539	8	24829530								
540	9	1558	0							
541	9	89999	0.013315482							
542	9	298995	0.016108427							
543	9	402435	0.014889291							
544	9	658749	0.008719564							
545	9	918997	0.022159545							
546	9	1163498	0.008402577							
547	9	1464074	0.007658769							
548	9	1768625	0.009285392							
549	9	2283265	0.000525527							
550	9	2560277	0.026469982							
551	9	2805368	0							
552	9	3332771	0.016157642							
553	9	4060639	0.001121303							
554	9	4506885	0							
555	9	4776997	0.000931479							
556	9	5399857	0							
557	9	5918751	0							
558	9	6706346	0.000643814							
559	9	7261455	0.003022837							
560	9	7661926	0							
561	9	8133339	0.001618061							
562	9	8650888	0.00621054							
563	9	9512497	0.016613894							
564	9	10067753	0.035769454							
565	9	10625907	0.017018666							
566	9	10849773	0.015251169							
567	9	11060266	0.025749161							
568	9	11308258	0.022022719							
569	9	11525224	0.021571461							
570	9	11824546	0.031403762							
571	9	12068521	0.004110255							
572	9	12204824	0.009907727							
573	9	12359294	0.020216178							
574	9	12568265	0.026308254							
575	9	12754250	0.006584215							
576	9	12940375	0.018378211							
577	9	13146155	0.008888577							
578	9	13407486	0.032686102							
579	9	13704444	0.015820656							
580	9	13836201	0.017573904							
581	9	14140135	0.027939952							
582	9	14344669	0.014541526							
583	9	14524673	0.020853641							
584	9	14702718	0.005057052							
585	9	14888470	0.000880622							
586	9	14994725	0.059657175							
587	9	15095390								
588	10	3855	0							
589	10	133694	0.007359497							
590	10	276171	0.021692948							
591	10	373327	0.01196915							
592	10	513472	0.011344322							
593	10	602254	0.011084406							
594	10	725627	0.014281576							
595	10	841234	0.012312377							
596	10	997797	0.008792							
597	10	1103688	0.017327069							
598	10	1252267	0.012275896							
599	10	1424950	0.008957811							
600	10	1606457	0.014674999							
601	10	1773512	0.007797085							
602	10	1941143	0							
603	10	2063799	0							
604	10	2261690	0							
605	10	2552361	0							
606	10	2857484	0							
607	10	3190623	0							
608	10	3409664	0							
609	10	3719073	0							
610	10	4000577	0							
611	10	4129888	0							
612	10	4367806	0							
613	10	4529276	0							
614	10	4726595	0							
615	10	4877971	0							
616	10	5041205	0							
617	10	5260241	0							
618	10	5425890	0							
619	10	5606552	0							
620	10	5784959	0							
621	10	6008864	0							
622	10	6207518	0							
623	10	6357548	0.002267942							
624	10	6521626	0.011690256							
625	10	6795980	0.002795799							
626	10	7266442	0							
627	10	7400958	0.001329662							
628	10	7618790	0.009057571							
629	10	7896186	0.015493383							
630	10	8044893	0.001297362							
631	10	8854044	0.003261737							
632	10	9042833	0.001892285							
633	10	9361111	0							
634	10	9818717	0.001613065							
635	10	10171227	0							
636	10	10987149	0.000909644							
637	10	11461376	0							
638	10	12132108	0.006802551							
639	10	12846702	0.004362142							
640	10	13212151	0.021139723							
641	10	13646668	0.001974223							
642	10	14043427	0.014981439							
643	10	14295129	0.010640514							
644	10	14810232	0.012105416							
645	10	15168033	0.014585316							
646	10	15512339	0.01368303							
647	10	15735254	0.012776061							
648	10	15952298	0.038351845							
649	10	16122150	0.039004841							
650	10	16431022	0.039015578							
651	10	16742031	0.06979384							
652	10	17184512	0							
653	10	17426853	0.011879166							
654	10	17605080	0.046598471							
655	10	17822586	0.027491801							
656	10	18001947	0.01645864							
657	10	18161523	0.003317828							
658	10	18305781	0.023439575							
659	10	18460837	0.010849597							
660	10	18603405	0.008292333							
661	10	18705296	0.033418678							
662	10	18804475	0.014688127							
663	10	19008804	0.003889982							
664	10	19122722	0.020676393							
665	10	19290472								
666	11	2749	0							
667	11	212208	0							
668	11	319154	0.00676581							
669	11	408092	0.002263368							
670	11	549062	0.010166666							
671	11	649955	0.01245997							
672	11	764864	0.019822104							
673	11	865848	0.007198794							
674	11	1048476	0.019138632							
675	11	1188834	0.011422187							
676	11	1380606	0.025773121							
677	11	1639792	0.043699007							
678	11	1800232	0.01932787							
679	11	2019346	0.040340336							
680	11	2319697	0.033832468							
681	11	2584339	0.048365529							
682	11	2795555	0.078121075							
683	11	3136142	0.078679728							
684	11	3444004	0.026250595							
685	11	5246799	0.030867383							
686	11	5481129	0.041250947							
687	11	5743502	0.020207838							
688	11	6164338	0.026769453							
689	11	9715268	0.005639517							
690	11	10061781	0							
691	11	10470125	0							
692	11	10794569	0							
693	11	11185806	0.027601444							
694	11	11469653	0.019553862							
695	11	13544485	0.005862728							
696	11	13817557	0							
697	11	14266927	0.003238656							
698	11	14594001	0.007011436							
699	11	15292534	0							
700	11	15857743	0							
701	11	16182917	0.015874605							
702	11	16545728	0.002376182							
703	11	17248640	0							
704	11	18148076	0.004855577							
705	11	18275263	0.012409151							
706	11	18493041	0							
707	11	18868956	0.013500833							
708	11	19879308	0							
709	11	20048260	0							
710	11	20513837	0							
711	11	21088195	0.009365793							
712	11	21288370	0.008508675							
713	11	22948591	0.019625789							
714	11	23162274	0.018007516							
715	11	23394173	0.028488029							
716	11	23689510	0.006515362							
717	11	23942186	0							
718	11	24037108	0.009999999							
719	11	25529285								
720	12	50691	0							
721	12	337881	0.004798652							
722	12	454330	0.018886659							
723	12	604514	0.02808061							
724	12	788016	0.008865014							
725	12	1006913	0.014216435							
726	12	1218865	0.02333075							
727	12	1544328	0.018560622							
728	12	3355608	0.000665432							
729	12	3695680	0							
730	12	4216438	0							
731	12	4381886	0.016578613							
732	12	5289126	0.011810688							
733	12	5850774	0							
734	12	6126103	0.01497567							
735	12	6289331	0.047501477							
736	12	6938163	0.02919517							
737	12	8446811	0.007653939							
738	12	8975647	0							
739	12	9959646	0							
740	12	10368456	0.001049307							
741	12	10861877	0							
742	12	11090224	0.001926541							
743	12	11525389	0.002271212							
744	12	12248315	0.004448333							
745	12	12549937	0.000698053							
746	12	14636690	0.00385997							
747	12	15363448	0.002983549							
748	12	16081860	0							
749	12	16575674	0.028151899							
750	12	16997007	0.086113213							
751	12	20367546	0.023160545							
752	12	20635285	0.023758781							
753	12	20960464	0.024296654							
754	12	21246569	0.026500821							
755	12	21526503	0.023578193							
756	12	21712594	0.022627381							
757	12	21973995	0.009529169							
758	12	22197092	0.030566108							
759	12	22362376	0.013516875							
760	12	22547222	0.002837402							
761	12	22686748	0.006717108							
762	12	22775361	0.014122215							
763	12	22931816	0.011276432							
764	12	23085934	0.017540252							
765	12	23236381	0.012368349							
766	12	23688179	0.02482812							
767	12	23889685	0.03652845							
768	12	24039462	0.008012975							
769	12	24200314	0.019557153							
770	12	24388658	0.013815316							
771	12	24625327	0.003262343							
772	12	24762721	0.006030993							
773	12	24883007	0.012550036							
774	12	25023353	0.008060032							
775	12	25118159	0.012771793							
776	12	25310880	0.01425037							
777	12	25442535	0.018288509							
778	12	25704089	0.001829552							
779	12	25881448	0.006295002							
780	12	26124483	0.004438238							
781	12	26336114	0.00524464							
782	12	26488489								
783	13	10170	0.011100866							
784	13	229841	0.004701241							
785	13	402525	0.030263447							
786	13	621566	0.132390531							
787	13	867250	0							
788	13	1190590	0.011095306							
789	13	1421609	0.017259631							
790	13	1995342	0							
791	13	2615251	0							
792	13	3277484	0							
793	13	3778724	0.002264664							
794	13	4009185	0.016308958							
795	13	4344505	0.003010386							
796	13	4678673	0.035960231							
797	13	5129056	0.010902014							
798	13	5446036	0.042464904							
799	13	6137778	0.019531168							
800	13	6427662	0.010662824							
801	13	6640897	0							
802	13	6795531	0.116456394							
803	13	7027184	0.029680724							
804	13	7303470	0.007789079							
805	13	7644179	0.029215823							
806	13	7888662	0.011936055							
807	13	8950154	0.029888231							
808	13	9554187	0							
809	13	9945037	0.001018143							
810	13	10366130	0.023550918							
811	13	10858421	0.202116783							
812	13	11426124	0.23849513							
813	13	13075799	0.018398207							
814	13	13437450	0.030863901							
815	13	13667093	0.001283159							
816	13	13941457	0.011127837							
817	13	14151945	0.01751222							
818	13	14372779	0.019793732							
819	13	14580769	0.018796312							
820	13	14769488	0.012916378							
821	13	15032552	0.014879209							
822	13	15264750	0.002274855							
823	13	15517152	0.007599521							
824	13	15805340	0.001195925							
825	13	15955998	0.004111749							
826	13	16189704	0.012500229							
827	13	16300439	0.005064941							
828	13	16439116	0.008044675							
829	13	16619154	0.010419738							
830	13	16792979	0.007103014							
831	13	16956467	0.011760323							
832	13	17085176	0.009984845							
833	13	17232990	0.008509946							
834	13	17392718	0.02583041							
835	13	17536805	0.021311437							
836	13	17680241	0.018081775							
837	13	17830411	0.001471147							
838	13	17941853	0.022803908							
839	13	18027385	0.011909945							
840	13	18206089	0.012147614							
841	13	18368881	0.005268236							
842	13	18524236	0.0067126							
843	13	18691669	0.012045537							
844	13	18849690	0.000752086							
845	13	18990286	0.004166885							
846	13	19088905	0.011045427							
847	13	19230215	0.005642622							
848	13	19377136	0							
849	13	19523622	0.009045426							
850	13	19618550	0.022283787							
851	13	19738511	0.017445576							
852	13	19864784	0.007362222							
853	13	19964149	0.006052815							
854	13	20183550	0.00869405							
855	13	20331165	0.014952115							
856	13	20513930	0.006495022							
857	13	20618236	0.011361676							
858	13	20720051	0.009223621							
859	13	20827207	0.001329767							
860	13	20973235	0							
861	13	21033462	0							
862	13	21147284								
863	14	9192	0.003833254							
864	14	222692	0.005098963							
865	14	308364	0.01492809							
866	14	463969	0.022866888							
867	14	634821	0.01331115							
868	14	785543	0.036328806							
869	14	964470	0.020567672							
870	14	1133868	0.017970599							
871	14	1339135	0.026174619							
872	14	1527415	0.025891521							
873	14	1686691	0.001252574							
874	14	1889819	0							
875	14	2071799	0							
876	14	2274982	0							
877	14	2441696	0							
878	14	2654768	0							
879	14	2933632	0							
880	14	3270860	0							
881	14	3548908	0							
882	14	3732330	0							
883	14	4147950	0							
884	14	4640374	0							
885	14	4998671	0							
886	14	5405190	0							
887	14	5838122	0							
888	14	6228004	0							
889	14	6441854	0							
890	14	6798862	0.039476183							
891	14	7205665	0.004578186							
892	14	7438762	0.023900762							
893	14	7890502	0.034349906							
894	14	8139056	0.012191824							
895	14	8448793	0.015896329							
896	14	8677380	0.006035529							
897	14	8885814	0							
898	14	9084498	0.017049797							
899	14	9359304	0.017958563							
900	14	9676086	0.008029598							
901	14	9975032	0							
902	14	10259525	0							
903	14	10574041	0							
904	14	11305002	0.003378282							
905	14	11779375	0.002076247							
906	14	12069984	0.005190251							
907	14	12306633	0.003052151							
908	14	12534028	0							
909	14	12896396	0							
910	14	13045969	0.01083635							
911	14	13682869	0.019140295							
912	14	13977211	0.007356379							
913	14	14225751	0.007925837							
914	14	14460442	0.003104753							
915	14	14684412	0							
916	14	14768951	0.003973466							
917	14	14929601	0.052798252							
918	14	15176631	0.002540321							
919	14	15418830	0.005063454							
920	14	15624271	0.015359601							
921	14	15824981	0.002843512							
922	14	16074722	0.018509408							
923	14	16259580	0.001790814							
924	14	16379842	0.004319501							
925	14	17008425	0.031385822							
926	14	17544538	0.005784775							
927	14	17816824	0.010923731							
928	14	18216010	0.001524212							
929	14	18429367	0.0012178							
930	14	18546252	0.01074315							
931	14	18817296	0.010410829							
932	14	19180781	0.029178224							
933	14	19435458	0.019967447							
934	14	19714436	0.003633781							
935	14	19894454	0.016457788							
936	14	19965113	0.011873932							
937	14	20158444	0.014751954							
938	14	20315586	0.003874286							
939	14	20430260	0.01227527							
940	14	20596352	0.005344036							
941	14	20794546	0.029757042							
942	14	20961990	0.006994154							
943	14	21046232	0.00073978							
944	14	21148518	0.012861813							
945	14	21276974	0.009877019							
946	14	21413376	0.007411315							
947	14	21529185	0.004710115							
948	14	21655305	0.002000011							
949	14	21774889	0.002447921							
950	14	21857475	0.02644049							
951	14	22016053	0.018621365							
952	14	22272937	0.000829085							
953	14	22376007	0.005482874							
954	14	22559536	0.01986039							
955	14	22657666	0.008419164							
956	14	22859491	0.005237952							
957	14	22973281	0.015816101							
958	14	23189560	0.006677923							
959	14	23367026	0.009084875							
960	14	23512464	0.004331138							
961	14	23751305	0							
962	14	23816056	0.014347228							
963	14	23920636	0.017729426							
964	14	24126996	0.008002252							
965	14	24252050	0.008531853							
966	14	24344751	0.017365528							
967	14	24508025	0.003412427							
968	14	24718844	0.010661823							
969	14	24821972	0.00240327							
970	14	24942709	0.00876597							
971	14	25155002	0.003075733							
972	14	25314349	0.009201571							
